Ouvriers et manoeuvres,,
portable à essence,h,"3,73€"
tractée,h,"11,89€"
Décolleuse,,
"Pour moquette, électrique - 230 V",h,"7,23€"
"Pour papier peint, électrique - 230 V",h,"2,61€"
Décrasseuse,,
"façades, la journée de 8 h",U,"20,03€"
Défonceuse,,
"à bois, la journée de 8 h",U,"24,98€"
Dumper,,
"capacité 700 litres, la journée de 8 h",U,"78,38€"
"Charge utile 6 T, à la journée",U,"176,57€"
"Charge utile 5 T, à la journée",U,"161,05€"
"Charge utile 4 T, à la journée",U,"143,20€"
"Charge utile 3 T, à la journée",U,"106,71€"
"Charge utile 2 T, à la journée",U,"89,80€"
"Charge utile 1 T, à la journée",U,"78,37€"
Echafaudage,,
D'intérieur,j,"22,94€"
"hauteur 3,50 m",h,"8,04€"
"hauteur 8,00 m, la journée de 8 h",U,"34,52€"
"Avec treuil électrique, le mois",U,"1 096,91 €"
"d'intérieur, hauteur 2,50 m, la journée de 8 h",U,"18,69€"
"d'intérieur, hauteur 5,00 m, la journée de 8 h",U,"34,52€"
"hauteur de 6,00 à 10,00 m, la 1ère semaine, la journée de 8 h",m2,"16,11€"
"hauteur de 6,00 à 10,00 m, la 2e et 3e semaine, la journée de 8 h",h,"13,73€"
"hauteur de 6,00 à 10,00 m, la 4e semaine, la journée de 8 h",h,"11,07€"
"Métallique tubulaire à emboîtement, le 1er mois; la journée de 8 h",m2,"7,70€"
"Métallique tubulaire à emboîtement, le 2e mois; la journée de 8 h",m2,"4,84€"
"Roulant, en acier, hauteur 4,00 m",j,"18,69€"
"Roulant, en acier, hauteur 4,00/6,00 m",j,"34,52€"
"Roulant, en acier, hauteur 6,00/8,00 m",j,"34,52€"
"Roulant, en acier, hauteur 9,00/11,00 m",j,"42,33€"
"Roulant, en acier, hauteur 12,00/16,00 m",j,"51,10€"
"Roulant compris plancher, dimensions 3,50x10,00 m, le mois",U,"187,83€"
"Roulant compris plancher, dimensions 3,50x2,00 m, le mois",U,"58,74€"
"Roulant compris plancher, dimensions 3,50x4,00 m, le mois",U,"92,30€"
"Roulant compris plancher, dimensions 3,50x6,00 m, le mois",U,"125,87€"
"Roulant compris plancher, dimensions 3,50x8,00 m, le mois",U,"163,06€"
"sans plancher, 1er mois",m2,"6,88€"
"sans plancher, 2e mois",m2,"5,51€"
"volant avec bachage de protection, au ml de façade à traiter",m,"66,36€"
"Plancher, le 2 eme mois, longueur 4 m",U,"6,79€"
"Plancher, le mois, longueur 4 m",U,"8,09€"
Echelle,,
"à coulisse, hauteur 5,50 m, la journée de 8 h",U,"11,05€"
"à coulisse, hauteur 9,00 m, la journée de 8 h",U,"15,26€"
